PLAYER_NAME,Touch < 2 Seconds,Touch 2-6 Seconds,Touch 6+ Seconds
DeMarcus Cousins,0.54,0.43,0.04
Stephen Curry,0.42,0.35,0.23
James Harden,0.27,0.39,0.34
Damian Lillard,0.3,0.31,0.4
Kevin Durant,0.49,0.34,0.18
Anthony Davis,0.68,0.29,0.03
LeBron James,0.33,0.33,0.34
Carmelo Anthony,0.38,0.44,0.19
Russell Westbrook,0.23,0.4,0.37
Paul George,0.46,0.37,0.17
CJ McCollum,0.35,0.38,0.27
DeMar DeRozan,0.27,0.51,0.23
John Wall,0.25,0.44,0.31
Klay Thompson,0.73,0.24,0.03
Blake Griffin,0.57,0.3,0.13
Brandon Knight,0.35,0.38,0.27
Isaiah Thomas,0.32,0.5,0.18
Kobe Bryant,0.35,0.44,0.21
Kyrie Irving,0.22,0.38,0.4
Kemba Walker,0.28,0.36,0.36
Dwyane Wade,0.27,0.47,0.26
Nikola Vucevic,0.64,0.35,0.02
Andrew Wiggins,0.47,0.48,0.05
Derrick Rose,0.26,0.45,0.28
Eric Bledsoe,0.23,0.47,0.29
Brook Lopez,0.6,0.32,0.08
Reggie Jackson,0.16,0.3,0.54
Kyle Lowry,0.34,0.4,0.26
Jimmy Butler,0.4,0.4,0.2
Kawhi Leonard,0.45,0.43,0.12
Chris Paul,0.13,0.36,0.5
Gordon Hayward,0.45,0.37,0.18
Dirk Nowitzki,0.64,0.34,0.01
Jahlil Okafor,0.39,0.51,0.1
Bradley Beal,0.46,0.42,0.13
Khris Middleton,0.5,0.4,0.1
Chris Bosh,0.66,0.31,0.03
Rudy Gay,0.55,0.39,0.07
Jrue Holiday,0.19,0.49,0.33
LaMarcus Aldridge,0.66,0.33,0.01
Karl-Anthony Towns,0.66,0.32,0.02
Ryan Anderson,0.57,0.42,0.01
Jordan Clarkson,0.37,0.38,0.25
Pau Gasol,0.68,0.26,0.06
Marc Gasol,0.55,0.41,0.04
Avery Bradley,0.71,0.26,0.04
Victor Oladipo,0.44,0.42,0.15
Zach Randolph,0.46,0.47,0.06
Emmanuel Mudiay,0.28,0.47,0.25
Danilo Gallinari,0.47,0.4,0.13
Thaddeus Young,0.57,0.37,0.07
Paul Millsap,0.63,0.35,0.02
Derrick Favors,0.71,0.22,0.08
Andre Drummond,0.66,0.31,0.03
Al Horford,0.79,0.19,0.02
Kevin Love,0.7,0.27,0.03
Giannis Antetokounmpo,0.46,0.4,0.14
Monta Ellis,0.33,0.44,0.23
Kentavious Caldwell-Pope,0.54,0.41,0.06
Tyreke Evans,0.23,0.45,0.32
Ish Smith,0.17,0.53,0.3
Nicolas Batum,0.56,0.34,0.1
Mike Conley,0.36,0.37,0.27
Jeff Teague,0.23,0.42,0.35
Rodney Hood,0.44,0.41,0.16
Kristaps Porzingis,0.71,0.28,0.02
Goran Dragic,0.34,0.42,0.25
Eric Gordon,0.59,0.35,0.06
Will Barton,0.43,0.43,0.14
D'Angelo Russell,0.39,0.34,0.27
Greg Monroe,0.53,0.44,0.04
Deron Williams,0.39,0.37,0.25
Jamal Crawford,0.37,0.41,0.22
Marcus Morris,0.47,0.45,0.08
Jabari Parker,0.64,0.34,0.02
Evan Fournier,0.54,0.39,0.07
JJ Redick,0.79,0.2,0.01
Zach LaVine,0.44,0.41,0.16
Tobias Harris,0.59,0.38,0.04
Devin Booker,0.51,0.36,0.13
Arron Afflalo,0.57,0.39,0.04
Markieff Morris,0.6,0.38,0.02
Jarrett Jack,0.32,0.28,0.41
Serge Ibaka,0.89,0.1,0.0
Jae Crowder,0.79,0.2,0.01
J.R. Smith,0.64,0.3,0.07
Wesley Matthews,0.63,0.33,0.04
Rajon Rondo,0.32,0.32,0.36
Alec Burks,0.36,0.47,0.17
Norris Cole,0.31,0.43,0.26
Al Jefferson,0.49,0.42,0.1
Chandler Parsons,0.54,0.4,0.06
Robert Covington,0.76,0.23,0.01
Joe Johnson,0.4,0.41,0.19
Trevor Ariza,0.7,0.28,0.01
Darren Collison,0.37,0.4,0.23
DeMarre Carroll,0.68,0.27,0.05
Lou Williams,0.38,0.47,0.15
Julius Randle,0.42,0.44,0.14
Jeff Green,0.51,0.38,0.12
Michael Carter-Williams,0.37,0.27,0.36
Michael Beasley,0.5,0.47,0.03
Marcin Gortat,0.82,0.16,0.02
Luol Deng,0.74,0.23,0.03
Gary Harris,0.65,0.32,0.03
Draymond Green,0.72,0.23,0.05
Elfrid Payton,0.35,0.45,0.2
Jared Sullinger,0.7,0.27,0.04
George Hill,0.5,0.28,0.22
Trey Burke,0.43,0.37,0.2
CJ Miles,0.74,0.25,0.01
Tony Parker,0.25,0.37,0.38
Mirza Teletovic,0.8,0.2,0.01
Dennis Schroder,0.3,0.35,0.35
Kent Bazemore,0.6,0.33,0.07
Otto Porter,0.79,0.19,0.02
Jose Juan Barea,0.26,0.36,0.39
Harrison Barnes,0.65,0.34,0.02
Bojan Bogdanovic,0.63,0.31,0.06
Isaiah Canaan,0.57,0.33,0.11
TJ Warren,0.69,0.28,0.03
Marco Belinelli,0.78,0.19,0.03
Kenneth Faried,0.85,0.14,0.01
Evan Turner,0.28,0.47,0.25
Jeremy Lin,0.39,0.4,0.21
Hassan Whiteside,0.71,0.27,0.02
Nikola Mirotic,0.75,0.24,0.01
Marvin Williams,0.83,0.17,0.0
Matt Barnes,0.78,0.2,0.01
Dion Waiters,0.39,0.45,0.15
Omri Casspi,0.73,0.26,0.01
Ersan Ilyasova,0.76,0.24,0.0
Jonas Valanciunas,0.71,0.27,0.03
Marcus Thornton,0.63,0.27,0.1
Myles Turner,0.83,0.16,0.01
Hollis Thompson,0.82,0.18,0.01
Al-Farouq Aminu,0.67,0.28,0.04
Nerlens Noel,0.72,0.26,0.02
Sean Kilpatrick,0.66,0.3,0.04
Enes Kanter,0.77,0.21,0.02
Marcus Smart,0.61,0.32,0.07
Terrence Ross,0.7,0.26,0.04
Raymond Felton,0.33,0.43,0.24
Gerald Green,0.7,0.27,0.03
Dwight Howard,0.76,0.21,0.03
Jerryd Bayless,0.59,0.28,0.14
Patrick Beverley,0.53,0.33,0.14
Allen Crabbe,0.81,0.19,0.0
Shabazz Muhammad,0.72,0.27,0.01
Stanley Johnson,0.47,0.47,0.06
Gary Neal,0.44,0.47,0.09
Courtney Lee,0.67,0.29,0.05
Robin Lopez,0.73,0.19,0.07
Kelly Olynyk,0.68,0.3,0.02
Alex Len,0.71,0.27,0.02
Shelvin Mack,0.32,0.47,0.21
Doug McDermott,0.82,0.18,0.0
Luis Scola,0.71,0.26,0.03
Jameer Nelson,0.33,0.33,0.34
O.J. Mayo,0.64,0.29,0.07
Jerami Grant,0.62,0.34,0.04
Jeremy Lamb,0.58,0.31,0.11
Ricky Rubio,0.44,0.31,0.26
Austin Rivers,0.39,0.37,0.24
Kyle Korver,0.91,0.09,0.0
Rodney Stuckey,0.4,0.46,0.14
Patty Mills,0.64,0.23,0.13
Jusuf Nurkic,0.71,0.29
Kevin Martin,0.56,0.38,0.06
Jordan Hill,0.65,0.26,0.09
Nikola Jokic,0.69,0.27,0.04
Aaron Gordon,0.7,0.26,0.04
Manu Ginobili,0.55,0.34,0.11
Nik Stauskas,0.67,0.28,0.05
Wayne Ellington,0.64,0.31,0.05
Gerald Henderson,0.52,0.39,0.08
Mo Williams,0.35,0.35,0.3
Archie Goodwin,0.36,0.49,0.15
Tony Allen,0.64,0.32,0.04
Terrence Jones,0.62,0.33,0.05
Mario Chalmers,0.37,0.34,0.29
Cory Joseph,0.26,0.42,0.32
Tim Duncan,0.71,0.25,0.04
Toney Douglas,0.39,0.41,0.2
Ramon Sessions,0.41,0.36,0.24
Meyers Leonard,0.84,0.16,0.01
Langston Galloway,0.63,0.3,0.07
PJ Tucker,0.64,0.33,0.03
Danny Green,0.81,0.19,0.0
Gorgui Dieng,0.71,0.27,0.02
Derrick Williams,0.61,0.34,0.05
Bobby Portis,0.66,0.32,0.02
Darrell Arthur,0.83,0.16,0.0
Jon Leuer,0.72,0.27,0.01
Carl Landry,0.77,0.23,0.01
Nick Young,0.62,0.35,0.03
Lance Stephenson,0.3,0.5,0.2
Taj Gibson,0.73,0.25,0.02
Aaron Brooks,0.25,0.41,0.35
Nene,0.58,0.35,0.07
Tyler Johnson,0.56,0.28,0.16
Matthew Dellavedova,0.45,0.3,0.25
Corey Brewer,0.69,0.3,0.01
Ben McLemore,0.72,0.26,0.02
E'Twaun Moore,0.47,0.38,0.15
DeAndre Jordan,0.91,0.07,0.02
Jason Smith,0.89,0.1,0.01
Frank Kaminsky,0.67,0.32,0.01
Lance Thomas,0.59,0.39,0.02
Wesley Johnson,0.89,0.11,0.0
Joffrey Lauvergne,0.76,0.22,0.02
Shane Larkin,0.35,0.34,0.31
Josh Smith,0.7,0.26,0.04
Marreese Speights,0.81,0.18,0.01
JaMychal Green,0.79,0.21,0.0
Garrett Temple,0.7,0.28,0.03
Brandon Jennings,0.39,0.31,0.31
Ian Mahinmi,0.85,0.15,0.01
Mason Plumlee,0.72,0.23,0.04
Jose Calderon,0.54,0.21,0.25
Patrick Patterson,0.78,0.23
Zaza Pachulia,0.81,0.18,0.01
PJ Hairston,0.75,0.21,0.03
David Lee,0.71,0.27,0.02
Luke Babbitt,0.5,0.48,0.03
Mike Dunleavy,0.82,0.18
Andrea Bargnani,0.84,0.16
Jared Dudley,0.91,0.09,0.0
Greivis Vasquez,0.45,0.38,0.17
Cody Zeller,0.85,0.15,0.0
Justise Winslow,0.7,0.27,0.04
Randy Foye,0.47,0.31,0.21
Paul Pierce,0.65,0.31,0.04
Devin Harris,0.6,0.36,0.05
Rudy Gobert,0.85,0.14,0.01
David West,0.75,0.24,0.01
TJ McConnell,0.25,0.44,0.31
Donald Sloan,0.38,0.4,0.22
Vince Carter,0.66,0.3,0.04
Kosta Koufos,0.89,0.1,0.01
D.J. Augustin,0.35,0.35,0.3
Andre Iguodala,0.65,0.31,0.04
Iman Shumpert,0.6,0.34,0.06
Andrew Nicholson,0.57,0.38,0.06
Kris Humphries,0.83,0.17,0.01
Donatas Motiejunas,0.75,0.24,0.01
Leandro Barbosa,0.63,0.33,0.04
Trey Lyles,0.72,0.28,0.0
Amir Johnson,0.8,0.19,0.01
Alexis Ajinca,0.78,0.21,0.01
Spencer Hawes,0.75,0.24,0.01
Ty Lawson,0.32,0.42,0.26
Mario Hezonja,0.65,0.29,0.06
Tony Snell,0.61,0.3,0.09
Charlie Villanueva,0.75,0.24,0.01
Steven Adams,0.87,0.12,0.01
Maurice Harkless,0.72,0.25,0.03
Josh Richardson,0.57,0.28,0.14
Willie Cauley-Stein,0.88,0.12,0.01
Dante Cunningham,0.87,0.13,0.01
Tim Hardaway Jr.,0.75,0.24,0.01
Jason Terry,0.71,0.23,0.06
Markel Brown,0.63,0.33,0.04
Raul Neto,0.42,0.45,0.13
Clint Capela,0.88,0.12,0.0
James Ennis,0.68,0.32
Jerian Grant,0.32,0.45,0.23
Seth Curry,0.52,0.26,0.22
John Henson,0.82,0.17,0.01
Tristan Thompson,0.85,0.15,0.01
Mike Scott,0.89,0.1,0.01
Metta World Peace,0.61,0.34,0.06
Boris Diaw,0.49,0.43,0.08
Roy Hibbert,0.68,0.28,0.04
Channing Frye,0.9,0.1,0.0
Thabo Sefolosha,0.74,0.24,0.02
Festus Ezeli,0.84,0.14,0.02
Trevor Booker,0.75,0.24,0.01
Anthony Morrow,0.79,0.21,0.01
Tyler Zeller,0.88,0.12
Shaun Livingston,0.4,0.46,0.14
Cameron Payne,0.39,0.27,0.34
Ronnie Price,0.57,0.32,0.11
Brandon Bass,0.68,0.28,0.04
Norman Powell,0.59,0.35,0.06
Larry Nance Jr.,0.84,0.16,0.0
Rondae Hollis-Jefferson,0.56,0.4,0.04
Tyson Chandler,0.91,0.09,0.01
Timofey Mozgov,0.84,0.14,0.02
Aron Baynes,0.89,0.1,0.01
Lavoy Allen,0.9,0.1
Anthony Tolliver,0.93,0.07
Tim Frazier,0.2,0.45,0.35
Joakim Noah,0.81,0.18,0.01
Chris McCullough,0.81,0.19
Sasha Vujacic,0.79,0.19,0.02
Beno Udrih,0.43,0.34,0.23
JJ Hickson,0.76,0.22,0.02
Jonathon Simmons,0.47,0.43,0.1
Richaun Holmes,0.83,0.17
Troy Daniels,0.82,0.17,0.02
Marcelo Huertas,0.33,0.4,0.27
JaKarr Sampson,0.58,0.4,0.03
Justin Holiday,0.68,0.28,0.04
Tyus Jones,0.36,0.31,0.33
Anthony Brown,0.73,0.26,0.01
Jarell Martin,0.72,0.27,0.01
Tiago Splitter,0.73,0.26,0.01
Dwight Powell,0.92,0.08
Amar'e Stoudemire,0.74,0.23,0.03
Kevin Seraphin,0.53,0.39,0.08
James Johnson,0.47,0.48,0.05
Richard Jefferson,0.74,0.25,0.01
Kyle O'Quinn,0.65,0.28,0.07
CJ Watson,0.5,0.37,0.14
Steve Blake,0.51,0.25,0.24
Ryan Kelly,0.67,0.31,0.02
Thomas Robinson,0.69,0.29,0.02
Ed Davis,0.83,0.17,0.01
Tyler Ennis,0.34,0.4,0.27
Andrew Bogut,0.88,0.11,0.02
JaVale McGee,0.8,0.19,0.01
Andre Roberson,0.88,0.11,0.01
Nemanja Bjelica,0.77,0.2,0.03
Kendall Marshall,0.45,0.32,0.23
Miles Plumlee,0.74,0.25,0.01
Kyle Anderson,0.41,0.5,0.09
Rashad Vaughn,0.79,0.21,0.01
Cole Aldrich,0.84,0.16,0.0
John Jenkins,0.6,0.29,0.11
Jonas Jerebko,0.81,0.2
Shabazz Napier,0.39,0.37,0.24
Quincy Acy,0.84,0.15,0.01
Chase Budinger,0.79,0.2,0.02
Brandon Rush,0.82,0.16,0.02
Joe Ingles,0.72,0.26,0.02
Noah Vonleh,0.72,0.26,0.02
Ray McCallum,0.52,0.28,0.21
Josh McRoberts,0.61,0.34,0.05
Solomon Hill,0.64,0.32,0.03
James Anderson,0.65,0.3,0.05
Bismack Biyombo,0.84,0.16
Alonzo Gee,0.67,0.33
Darrun Hilliard,0.5,0.48,0.02
Drew Gooden,0.74,0.25,0.01
Willie Reed,0.88,0.12
Glenn Robinson,0.69,0.3,0.01
Kelly Oubre,0.63,0.29,0.09
Phil Pressey,0.16,0.53,0.31
Axel Toupane,0.9,0.1
Kyle Singler,0.84,0.15,0.01
Jeff Withey,0.93,0.07
Johnny O'Bryant,0.81,0.18,0.01
Justin Anderson,0.69,0.27,0.04
Kevin Garnett,0.81,0.19
Dewayne Dedmon,0.85,0.15
Robert Sacre,0.71,0.29
Tayshaun Prince,0.73,0.24,0.03
Omer Asik,0.87,0.13,0.01
Kirk Hinrich,0.39,0.43,0.18
Luc Mbah a Moute,0.84,0.16
Chris Johnson,0.75,0.23,0.02
Tarik Black,0.77,0.22,0.01
Chris Andersen,0.85,0.14,0.01
Reggie Bullock,0.84,0.16
Andre Miller,0.32,0.36,0.33
Kostas Papanikolaou,0.67,0.3,0.03
Sonny Weems,0.67,0.29,0.04
Pablo Prigioni,0.38,0.37,0.25
Cristiano Felicio,0.88,0.13
Salah Mejri,0.86,0.13,0.01
Jason Thompson,0.76,0.21,0.03
Lamar Patterson,0.75,0.2,0.05
Ryan Hollins,0.81,0.19
Kendrick Perkins,0.63,0.31,0.07
Nick Collison,0.84,0.17
Sergey Karasev,0.78,0.21,0.01
