RPM,R5,R4,R1,R3,R2,TOTAL,RPM,PG,SG,SF,PF,C
GS,7,1,1,7,10,1.81,GS,100%,69%,79%,100%,79%
HOU,5,24,4,6,1,1.76,HOU,90%,100%,83%,21%,86%
TOR,15,9,5,13,2,1.34,TOR,86%,97%,59%,72%,52%
BOS,16,10,8,5,3,1.15,BOS,76%,93%,86%,69%,48%
MIN,6,8,9,12,5,1.13,MIN,72%,86%,62%,76%,83%
OKC,21,17,2,11,16,0.63,OKC,97%,48%,66%,45%,31%
PHI,2,25,12,1,20,0.53,PHI,62%,34%,100%,17%,97%
WSH,24,26,10,3,7,0.51,WSH,69%,79%,93%,14%,21%
NO,1,2,13,17,30,0.48,NO,59%,0%,45%,97%,100%
CLE,28,14,24,2,13,0.30,CLE,21%,59%,97%,55%,7%
DEN,4,18,26,20,6,0.25,DEN,14%,83%,34%,41%,90%
SA,8,6,18,8,18,0.20,SA,41%,41%,76%,83%,76%
DET,3,16,22,10,21,0.11,DET,28%,31%,69%,48%,93%
MIL,30,3,16,9,28,0.11,MIL,48%,7%,72%,93%,0%
UTAH,11,12,20,4,22,0.05,UTAH,34%,28%,90%,62%,66%
IND,23,20,11,26,4,-0.03,IND,66%,90%,14%,34%,24%
MIA,9,7,19,14,19,-0.06,MIA,38%,38%,55%,79%,72%
POR,25,13,6,24,23,-0.12,POR,83%,24%,21%,59%,17%
DAL,10,4,14,23,27,-0.18,DAL,55%,10%,24%,90%,69%
CHA,22,21,7,21,24,-0.31,CHA,79%,21%,31%,31%,28%
LAC,12,11,25,18,14,-0.52,LAC,17%,55%,41%,66%,62%
BKN,27,27,3,15,25,-0.53,BKN,93%,17%,52%,10%,10%
NY,14,5,27,22,9,-0.55,NY,10%,72%,28%,86%,55%
MEM,13,28,21,19,8,-0.59,MEM,31%,76%,38%,7%,59%
ATL,19,19,28,16,11,-0.69,ATL,7%,66%,48%,38%,38%
LAL,17,23,15,28,15,-0.80,LAL,52%,52%,7%,24%,45%
CHI,29,22,17,25,12,-1.01,CHI,45%,62%,17%,28%,3%
ORL,18,15,23,27,29,-1.19,ORL,24%,3%,10%,52%,41%
PHX,20,30,29,29,17,-1.74,PHX,3%,45%,3%,0%,34%
SAC,26,29,30,30,26,-2.10,SAC,0%,14%,0%,3%,14%